[info] engine.cpp:110 | initialize() | Engine::initialize() started
[info] asset_loader.h:42 | AssetLoader() | AssetLoader created
[info] asset_loader.h:55 | initialize() | AssetLoader initialized
[info] config_manager.cpp:32 | addConfig() | Config loaded: config/resources/paths.json
[info] config_manager.cpp:32 | addConfig() | Config loaded: assets/input\standalone_map.json
[info] input_map.cpp:205 | loadMapFromFile() | Loaded 10 key bindings and 0 mouse bindings for standalone mode
[info] config_manager.cpp:32 | addConfig() | Config loaded: assets/input\editor_map.json
[info] input_map.cpp:205 | loadMapFromFile() | Loaded 9 key bindings and 1 mouse bindings for editor mode
[info] input_manager.cpp:18 | createDefault() | InputManager: Created default GameInputProcessor
[info] config_manager.cpp:32 | addConfig() | Config loaded: config/engine\settings.json
[info] engine.cpp:210 | initialize() | RHI API selected from config: vulkan
[info] engine.cpp:228 | initialize() | GPU profiling disabled at compile time
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] No valid vk_loader_settings.json file found, no loader settings will be active
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_get_app_package_manifest_path: Failed to find mapping layers packages by family name
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Checking for Layer Manifest files in Registry at HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] windows_add_json_entry: Located json file "C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\nv-vk64.json" fromPnP registry: E
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\Program Files\RenderDoc\renderdoc.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayVkLayer-Win64.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\Program Files\NVIDIA Corporation\Nsight Graphics 2024.3.0\target\windows-desktop-nomad-x64\VK_LAYER_NV_nomad_release_public_2024_3_0.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\Program Files\NVIDIA Corporation\Nsight Graphics 2024.3.0\target\windows-desktop-nomad-x64\VK_LAYER_NV_GPU_Trace_release_public_2024_3_0.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\Program Files\NVIDIA Corporation\Nsight Graphics 2024.3.0\target\windows-desktop-nomad-x64\VK_LAYER_NV_shader_debugger_release_public_2024_3_0.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\Program Files\NVIDIA Corporation\Nsight Systems 2024.7.1\target-windows-x64\vulkan-layers\VkLayer_nsight-sys_windows.json"from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\ProgramData\obs-studio-hook\obs-vulkan64.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\Program Files (x86)\Steam\SteamOverlayVulkanLayer64.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Located json file "C:\Program Files (x86)\Steam\SteamFossilizeVulkanLayer64.json" from registry "HKEY_LOCAL_MACHINE\SOFTWARE\Khronos\Vulkan\ImplicitLayers"
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_0fb2df354c49e826\nv-vk64.json (file version 1.0.1)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\Program Files\RenderDoc\renderdoc.json (file version 1.1.2)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\Program Files (x86)\Epic Games\Epic Online Services\managedArtifacts\98bc04bc842e4906993fd6d6644ffb8d\EOSOverlayVkLayer-Win64.json (file version 1.1.2)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\Program Files\NVIDIA Corporation\Nsight Graphics 2024.3.0\target\windows-desktop-nomad-x64\VK_LAYER_NV_nomad_release_public_2024_3_0.json (file version 1.1.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\Program Files\NVIDIA Corporation\Nsight Graphics 2024.3.0\target\windows-desktop-nomad-x64\VK_LAYER_NV_GPU_Trace_release_public_2024_3_0.json (file version 1.1.0)
[info] device_utils_vk.cpp:51 | g_debugCallback() | Vulkan [GENERAL ] [Loader Message] Found manifest file C:\Program Files\NVIDIA Corporation\Nsight Graphics 2024.3.0\target\windows-desktop-nomad-x64\VK_LAYER_NV_shader_debugger_release_public_2024_3_0.json (file version 1.2.1)
